Metric,Unit,Observation_unit,N,Total,Mean,SD,Median,Q1,Q3,Status,Notes
Nominal-feasible candidates,count,hemisphere,30,8131,271.033,168.212,293,117.75,417.75,Available,Baseline thresholds 3.0/2.0/2.0 mm
Robust-feasible candidates,count,hemisphere,30,5940,198,161.674,168,40.75,339.25,Available,Full uncertainty screening under the manuscript perturbation configuration
Rejected by robust screening,count,hemisphere,30,2191,73.033,47.909,70,31.5,117.25,Available,"2,191 of 8,131 nominal-feasible candidates were excluded after robust screening (26.9%)"
Hemispheres with robust solution,count,hemisphere,30,30,1,0,1,1,1,Available,All 30 hemispheres retained at least one robust-feasible trajectory under the baseline T3 thresholds
Optimization runtime,seconds,hemisphere,30,30.986,1.033,0.074,1.037,0.999,1.084,Available,Measured with the current implementation for all 30 hemispheres
Preprocessing total runtime,seconds,case,15,2395.14,159.676,14.246,162.296,157.153,165.847,Available,Includes risk-field target and candidate preprocessing; not candidate generation alone
Candidate-generation-only runtime,seconds,case,0,,,,,,,TODO_VERIFY,The executed preprocessing records did not time candidate generation as a separate stage

